"TABLE_NAME"	"COLUMN_NAME"	"OWNER"
"V_HIST_ANEP"	"BUKRS"	"RAWB_FAC"
"V_HIST_ANEP"	"ANLN1"	"RAWB_FAC"
"V_HIST_ANEP"	"ANLN2"	"RAWB_FAC"
"V_HIST_ANEP"	"GJAHR"	"RAWB_FAC"
"V_HIST_ANEP"	"LNRAN"	"RAWB_FAC"
"V_HIST_ANEP"	"AFABE"	"RAWB_FAC"
"V_HIST_ANEP"	"ZUJHR"	"RAWB_FAC"
"V_HIST_ANEP"	"ZUCOD"	"RAWB_FAC"
"V_HIST_ANEP"	"PERAF"	"RAWB_FAC"
"V_HIST_ANEP"	"BELNR"	"RAWB_FAC"
"V_HIST_ANEP"	"BUZEI"	"RAWB_FAC"
"V_HIST_ANEP"	"BZDAT"	"RAWB_FAC"
"V_HIST_ANEP"	"BWASL"	"RAWB_FAC"
"V_HIST_ANEP"	"XAFAR"	"RAWB_FAC"
"V_HIST_ANEP"	"ANBTR"	"RAWB_FAC"
"V_HIST_ANEP"	"NAFAB"	"RAWB_FAC"
"V_HIST_ANEP"	"SAFAB"	"RAWB_FAC"
"V_HIST_ANEP"	"ZINSB"	"RAWB_FAC"
"V_HIST_ANEP"	"XANTW"	"RAWB_FAC"
"V_HIST_ANEP"	"XAWBT"	"RAWB_FAC"
"V_HIST_ANEP"	"LNSAN"	"RAWB_FAC"
"V_HIST_ANEP"	"ANUPD"	"RAWB_FAC"
"V_HIST_ANEP"	"AUGLN"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_GJAHR"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_LNRAN"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_AFABE"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_ZUJHR"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_ZUCOD"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_PERAF"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_BUZEI"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_BZDAT"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_XAFAR"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_LNSAN"	"RAWB_FAC"
"V_HIST_ANEP"	"CONV_AUGLN"	"RAWB_FAC"
"V_HIST_ANEP"	"TECH_TIMESTAMP"	"RAWB_FAC"
